City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Adrar,MR,2022-04-06 23:13:42,20.5022,-10.0711,74.48,22,5,13.11
155,Alexandria,EG,2022-04-06 23:09:59,31.2156,29.9553,63.52,76,83,3.6
156,Quatre Cocos,MU,2022-04-06 23:13:42,-20.2078,57.7625,74.08,78,69,13.76
157,San Andres,CO,2022-04-06 23:13:42,12.5847,-81.7006,84.22,74,40,9.22
158,Palmeiras De Goias,BR,2022-04-06 23:13:43,-16.805,-49.9258,76.3,63,66,3.51
159,Ponte De Sor,PT,2022-04-06 23:13:43,39.2496,-8.0101,47.43,96,22,8.84
160,Hirara,JP,2022-04-06 23:13:43,24.8,125.2833,69.48,70,96,12.06
161,Iqaluit,CA,2022-04-06 23:13:43,63.7506,-68.5145,4.69,71,24,17.0
162,Salinopolis,BR,2022-04-06 23:13:44,-0.6136,-47.3561,76.57,90,94,4.14
163,Srikakulam,IN,2022-04-06 23:13:44,18.3,83.9,76.21,88,69,5.59
164,Caernarfon,GB,2022-04-06 23:13:44,53.1413,-4.2702,47.93,60,75,39.12
165,Katsuura,JP,2022-04-06 23:13:45,35.1333,140.3,57.33,78,93,17.2
166,Kapaa,US,2022-04-06 23:13:45,22.0752,-159.319,80.58,71,0,17.27
167,Bata,GQ,2022-04-06 23:13:45,1.8639,9.7658,78.85,81,100,3.38
168,Norman Wells,CA,2022-04-06 23:13:46,65.282,-126.8329,33.73,93,11,4.41
169,Pacific Grove,US,2022-04-06 23:13:46,36.6177,-121.9166,85.33,40,0,3.44
170,Mont-Dore,NC,2022-04-06 23:13:46,-22.2833,166.5833,82.38,99,100,21.03
171,Alta Floresta,BR,2022-04-06 23:13:47,-9.8756,-56.0861,73.31,94,86,0.89
172,Gidam,IN,2022-04-06 23:13:47,18.9833,81.4,74.1,59,41,2.28
173,Ilek,RU,2022-04-06 23:13:47,51.5271,53.3831,37.67,95,89,6.44
174,Vao,NC,2022-04-06 23:09:29,-22.6667,167.4833,78.96,87,100,31.81
175,Butaritari,KI,2022-04-06 23:13:48,3.0707,172.7902,81.52,76,97,19.75
176,Kut Chap,TH,2022-04-06 23:13:48,17.4257,102.5669,71.64,55,86,3.04
177,Lasa,IT,2022-04-06 23:13:48,46.6166,10.7002,45.7,96,100,2.66
178,Araxa,BR,2022-04-06 23:13:49,-19.5933,-46.9406,68.49,86,79,4.09
179,Manikpur,IN,2022-04-06 23:13:49,25.0667,81.1167,80.44,9,22,2.06
180,College,US,2022-04-06 23:13:49,64.8569,-147.8028,44.55,35,75,12.66
181,Port Alfred,ZA,2022-04-06 23:09:17,-33.5906,26.891,58.17,74,17,8.01
182,Colesberg,ZA,2022-04-06 23:13:50,-30.72,25.0972,50.7,50,0,6.44
183,Morondava,MG,2022-04-06 23:14:50,-20.2833,44.2833,76.89,58,1,2.57
184,Nikolskoye,RU,2022-04-06 23:14:50,59.7035,30.7861,30.87,93,73,5.79
185,Gizeh,EG,2022-04-06 23:14:51,30.0081,31.2109,74.14,53,63,8.72
186,Hasaki,JP,2022-04-06 23:14:51,35.7333,140.8333,55.8,76,99,22.53
187,Vredendal,ZA,2022-04-06 23:14:51,-31.6683,18.5012,57.52,63,0,11.01
188,Male,MV,2022-04-06 23:14:52,4.1748,73.5089,82.81,69,63,2.66
189,Ewa Beach,US,2022-04-06 23:14:52,21.3156,-158.0072,84.15,53,20,18.41
190,Kalundborg,DK,2022-04-06 23:14:52,55.6795,11.0886,43.95,95,100,17.74
191,Kruisfontein,ZA,2022-04-06 23:14:52,-34.0033,24.7314,56.88,69,65,19.75
192,Tenenkou,ML,2022-04-06 23:14:53,14.4572,-4.9169,91.09,10,31,6.2
193,Gainesville,US,2022-04-06 23:14:31,29.6516,-82.3248,81.95,70,75,12.66
194,Boquira,BR,2022-04-06 23:14:53,-12.8231,-42.7306,81.1,44,62,6.87
195,Beloha,MG,2022-04-06 23:14:53,-25.1667,45.05,72.07,94,22,1.57
196,Jacobina,BR,2022-04-06 23:14:54,-11.1806,-40.5183,73.65,49,0,4.07
197,Srednekolymsk,RU,2022-04-06 23:14:54,67.45,153.6833,0.88,88,73,6.06
198,Progreso,MX,2022-04-06 23:14:54,21.2833,-89.6667,102.31,67,1,12.82
199,Soyo,AO,2022-04-06 23:14:55,-6.1349,12.3689,77.76,89,48,8.14
200,Valleyview,CA,2022-04-06 23:14:55,55.0667,-117.2859,44.64,36,35,13.8
201,Saint Anthony,US,2022-04-06 23:14:55,45.0205,-93.218,39.92,88,100,19.57
202,Rorvik,NO,2022-04-06 23:14:56,64.8621,11.2373,34.93,77,77,8.7
203,Constitucion,CL,2022-04-06 23:14:56,-35.3333,-72.4167,56.95,76,16,13.18
204,Bengkulu,ID,2022-04-06 23:14:56,-3.8004,102.2655,74.25,88,99,5.03
205,Lishu,CN,2022-04-06 23:14:57,43.3047,124.3278,35.56,37,29,11.41
206,Boende,CD,2022-04-06 23:14:57,-0.2167,20.8667,71.11,89,100,2.84
207,Tabas,IR,2022-04-06 23:14:57,33.5959,56.9244,74.8,10,90,5.99
208,Ponta Do Sol,PT,2022-04-06 23:14:57,32.6667,-17.1,60.01,73,5,3.38
209,Flin Flon,CA,2022-04-06 23:14:58,54.7682,-101.865,32.29,79,100,8.34
210,Houma,US,2022-04-06 23:11:58,29.5958,-90.7195,84.0,68,0,8.05
211,Kavieng,PG,2022-04-06 23:14:58,-2.5744,150.7967,78.62,86,100,2.71
212,Vila Velha,BR,2022-04-06 23:14:58,-20.3297,-40.2925,80.55,85,75,10.36
213,Hay River,CA,2022-04-06 23:14:59,60.8156,-115.7999,44.56,45,20,4.61
214,Samarai,PG,2022-04-06 23:14:59,-10.6167,150.6667,82.85,73,99,14.36
