City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
298,Sao Pedro Do Piaui,BR,-5.9294,-42.7186,73.22,94,67,2.48,broken clouds
299,Chumikan,RU,54.7183,135.315,26.38,95,100,17.0,snow
300,Santa Maria,BR,-29.6842,-53.8069,69.1,94,20,4.61,light rain
301,Kalmunai,LK,7.4167,81.8167,77.65,82,100,3.96,overcast clouds
302,Saint-Pierre,RE,-21.3393,55.4781,74.91,83,0,23.02,clear sky
303,Bulolo,PG,-7.2,146.65,84.49,53,49,2.93,scattered clouds
304,Saint-Leu,RE,-21.15,55.2833,76.03,78,17,11.21,few clouds
305,Umea,SE,63.8284,20.2597,26.91,100,46,0.0,fog
306,Abonnema,NG,4.7084,6.7931,79.02,86,43,1.21,moderate rain
307,Lagoa,PT,39.05,-27.9833,59.61,94,100,17.49,overcast clouds
308,Port-Gentil,GA,-0.7193,8.7815,80.2,84,83,10.71,broken clouds
309,Khatanga,RU,71.9667,102.5,-14.17,100,100,1.83,overcast clouds
310,Nantucket,US,41.2835,-70.0995,48.31,75,0,16.11,clear sky
311,Manono,CD,-7.3,27.4167,73.45,78,95,2.84,overcast clouds
312,Ilulissat,GL,69.2167,-51.1,23.02,63,75,3.44,broken clouds
313,Marzuq,YE,14.4,46.4667,70.29,23,0,5.91,clear sky
314,Perigueux,FR,45.1833,0.7167,56.61,63,98,11.95,overcast clouds
315,Grindavik,IS,63.8424,-22.4338,40.95,65,75,16.11,moderate rain
316,San Quintin,MX,30.4833,-115.95,62.71,65,1,16.26,clear sky
317,Volnovakha,UA,47.601,37.4967,52.0,87,95,12.19,overcast clouds
318,Lucea,JM,18.451,-78.1736,78.85,75,21,17.05,few clouds
319,Asau,RO,46.4333,26.4,34.72,90,46,4.76,scattered clouds
320,Andenes,NO,69.3143,16.1194,33.93,93,100,6.91,light rain
321,Inzer,RU,54.2167,57.5556,36.52,94,69,3.0,broken clouds
322,Horodyshche,UA,49.2849,31.4451,40.57,73,100,16.28,overcast clouds
323,Saint-Joseph,RE,-21.3667,55.6167,73.78,83,70,16.13,light rain
324,Labytnangi,RU,66.6572,66.4183,33.85,100,100,5.73,overcast clouds
325,Toro,CO,4.6117,-76.0814,77.68,94,93,4.32,overcast clouds
326,Oum Hadjer,TD,13.2954,19.6966,87.06,9,39,6.49,scattered clouds
327,Dzhebariki-Khaya,RU,62.2167,135.8,26.2,76,97,1.43,overcast clouds
328,Nanzhang,CN,31.7765,111.8386,67.8,49,91,12.37,overcast clouds
329,Galveston,US,29.3669,-94.9669,77.18,85,100,12.66,overcast clouds
330,Liepaja,LV,56.5419,21.0367,31.98,93,20,3.44,few clouds
331,Great Bend,US,38.3645,-98.7648,66.85,27,0,16.11,clear sky
332,Soyo,AO,-6.1349,12.3689,77.16,89,100,5.28,overcast clouds
333,Port Blair,IN,11.6667,92.75,77.04,88,20,2.3,mist
334,Auki,SB,-8.7676,160.7034,85.95,62,81,2.33,broken clouds
335,Hervey Bay,AU,-25.2986,152.8535,80.02,74,2,5.01,clear sky
336,Inirida,CO,3.8653,-67.9239,76.39,90,93,1.97,overcast clouds
337,Waipawa,NZ,-41.4122,175.5153,63.73,68,94,10.94,overcast clouds
338,Elizabeth City,US,36.2946,-76.2511,66.02,74,0,5.75,clear sky
339,Gizo,SB,-8.103,156.8419,84.42,69,73,4.41,broken clouds
340,Benghazi,LY,32.1167,20.0667,56.89,66,4,11.99,clear sky
341,Eydhafushi,MV,5.1033,73.0708,84.2,73,34,10.78,scattered clouds
342,Santa Lucia,ES,27.9117,-15.5407,58.32,72,75,16.11,broken clouds
343,Clyde River,CA,70.4692,-68.5914,-7.37,77,0,4.61,clear sky
344,Chicama,PE,-7.8447,-79.1469,64.94,79,73,7.43,broken clouds
345,Clarence Town,AU,-32.5833,151.7833,72.86,87,89,7.0,overcast clouds
346,Kokopo,PG,-4.352,152.2633,83.23,66,83,3.29,broken clouds
347,Broken Hill,AU,-31.95,141.4333,69.51,52,5,11.5,clear sky
