City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
345,Clarence Town,AU,72.86,overcast clouds,-32.5833,151.7833,River Downs Cottage
347,Broken Hill,AU,69.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
351,Naze,JP,72.52,few clouds,28.3667,129.4833,Shishime Hotel
353,Wuan,CN,68.16,overcast clouds,31.6836,112.0044,武镇大酒店
356,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
361,Jeremie,HT,77.92,scattered clouds,18.65,-74.1167,Auberge’Inn
365,Sao Joao Da Barra,BR,76.64,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
372,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
373,Trinidad,BO,75.33,few clouds,-14.8333,-64.9,Hotel Piesta
381,Basco,PH,78.53,broken clouds,20.4487,121.9702,Nathaniel's Lodge
393,Rubiataba,BR,72.16,overcast clouds,-15.1644,-49.8033,Pousada dos anjos
395,Flinders,AU,69.19,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
399,Les Cayes,HT,76.91,scattered clouds,18.2,-73.75,Villa Orphee
406,Hualmay,PE,67.73,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
409,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
418,San Policarpo,PH,78.64,overcast clouds,12.1791,125.5072,Agapita M. Nicart
419,Nagtipunan,PH,78.06,overcast clouds,16.2167,121.6,D' Fields Travellers Place
422,Sawtell,AU,75.18,broken clouds,-30.3833,153.1,The Bungalow Sawtell
433,Moyale,KE,72.25,overcast clouds,3.5167,39.0584,La Tahzan Guest House
434,Odweyne,SO,71.55,broken clouds,9.4092,45.064,Eng Hiirey House
435,Sakakah,SA,74.77,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
438,Nizwa,OM,78.66,clear sky,22.9333,57.5333,Orient Apartments
440,Praia,CV,70.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
445,Tura,IN,71.49,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
449,Jucurutu,BR,77.11,scattered clouds,-6.0339,-37.0203,Pousada Miike
452,Raton,US,66.81,few clouds,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
454,Lar,IN,77.72,broken clouds,26.2039,83.9717,Ovaiskarni ward Lar
456,Canon City,US,69.96,clear sky,38.441,-105.2424,Travel Inn Motel
461,Hirara,JP,75.47,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
468,Awbari,LY,68.27,broken clouds,26.5921,12.7805,فندق أوباري
469,Ondjiva,AO,65.61,overcast clouds,-17.0667,15.7333,COMBUESA
473,Monteagudo,BO,69.3,overcast clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
475,Cockburn Town,TC,76.24,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
478,Ambilobe,MG,70.45,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
483,Jieshi,CN,77.95,clear sky,22.8134,115.8257,Yuehai Hotel
493,Praya,CV,70.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
497,Gangarampur,IN,74.7,clear sky,25.4,88.5167,Parijat Lodge
502,Rio Pomba,BR,72.73,clear sky,-21.2747,-43.1792,San Marino Hotel
506,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
507,Maceio,BR,74.64,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
514,Sao Felix Do Xingu,BR,72.63,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
515,Fukuma,JP,73.29,clear sky,33.7667,130.4667,Masago
527,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,hotel la terminal
529,Oyama,JP,69.58,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
530,Shimoda,JP,70.16,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
531,Puerto Leguizamo,CO,73.08,broken clouds,-0.1934,-74.7819,la casona de juancho
538,Faranah,GN,78.67,broken clouds,10.0404,-10.7434,Chez mon oncle
550,Morogoro,TZ,68.7,overcast clouds,-6.8167,37.6667,Nashera Hotel
554,San Patricio,US,77.72,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
563,Marawi,PH,75.04,overcast clouds,7.9986,124.2928,Derogongan Residence
564,Dubbo,AU,73.53,clear sky,-32.25,148.6167,Quality Inn Dubbo International
566,Dandeli,IN,76.08,overcast clouds,15.2667,74.6167,Shree Lodge
567,Rio Verde De Mato Grosso,BR,78.82,broken clouds,-18.9181,-54.8442,Quedas Palace Hotel
568,Cuamba,MZ,66.92,scattered clouds,-14.8031,36.5372,Hotel Vision
570,Sungaipenuh,ID,69.33,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
574,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
576,Lazaro Cardenas,MX,78.31,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
579,Nelson Bay,AU,73.0,light rain,-32.7167,152.15,Mantra Nelson Bay
581,Martapura,ID,78.89,clear sky,-3.4167,114.85,Montana Hotel Syariah
594,Conceicao Do Mato Dentro,BR,66.54,clear sky,-19.0372,-43.425,Hotel Vista Inn
597,Uvinza,TZ,66.52,light rain,-5.1036,30.3911,Crown Lodge and lounge
598,Talara,PE,69.53,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
600,Itaituba,BR,74.34,overcast clouds,-4.2761,-55.9836,Hotel Campos
603,Boulder City,US,75.85,clear sky,35.9786,-114.8325,Boulder Dam Hotel
606,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
608,Sibolga,ID,79.75,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
609,Payo,ID,76.12,overcast clouds,-3.7508,103.6372,Mess keban agung
612,Araguacu,BR,78.84,scattered clouds,-12.9306,-49.8264,Hotel Tocantins
613,Ilo,PE,65.8,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
615,Paeroa,NZ,72.28,overcast clouds,-37.3667,175.6667,Racecourse Motel Paeroa
617,Humaita,BR,75.51,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
620,Pascagoula,US,69.84,few clouds,30.3658,-88.5561,Regency Inn
622,Matara,LK,78.19,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
626,Espanola,US,70.54,scattered clouds,35.9911,-106.0806,Santa Claran Hotel Casino
628,Lashio,MM,71.8,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
632,Collie,AU,65.05,clear sky,-33.3667,116.15,Collie Ridge
639,Komsomolskiy,UZ,66.92,light rain,40.4272,71.7189,Ikathouse
